id,title,level,automated_by_cis,ansible_status,task_or_tag,notes
6.2.3.3,Ensure journald is configured to send logs to rsyslog,1,Automated,excluded_baseline_cliente,6.2.3.3,Excluido: no aparece en Linea_Base_Hardening_CIS_RHEL9_Final.xlsx entregada por el banco (2026-08-07). Codigo Ansible se mantiene pero deshabilitado por defecto (toggle=false).
6.2.3.4,Ensure rsyslog log file creation mode is configured,1,Automated,excluded_baseline_cliente,6.2.3.4,Excluido: no aparece en Linea_Base_Hardening_CIS_RHEL9_Final.xlsx entregada por el banco (2026-08-07). Codigo Ansible se mantiene pero deshabilitado por defecto (toggle=false).
6.2.3.5,Ensure rsyslog logging is configured,1,Manual,manual,,Marcado como Manual en el CIS Benchmark (politica organizacional / revision humana / seguridad fisica). No se automatiza.
6.2.3.6,Ensure rsyslog is configured to send logs to a remote log host,1,Manual,manual,,Marcado como Manual en el CIS Benchmark (politica organizacional / revision humana / seguridad fisica). No se automatiza.
6.2.3.7,Ensure rsyslog is not configured to receive logs from a remote client,1,Automated,implemented,6.2.3.7,
6.2.3.8,Ensure rsyslog logrotate is configured,1,Manual,manual,,Marcado como Manual en el CIS Benchmark (politica organizacional / revision humana / seguridad fisica). No se automatiza.
6.2.4.1,Ensure access to all logfiles has been configured,1,Automated,excluded_baseline_cliente,6.2.4.1,Excluido: no aparece en Linea_Base_Hardening_CIS_RHEL9_Final.xlsx entregada por el banco (2026-08-07). Codigo Ansible se mantiene pero deshabilitado por defecto (toggle=false).
6.3.1.1,Ensure auditd packages are installed,2,Automated,implemented,6.3.1.1,
6.3.1.2,Ensure auditing for processes that start prior to auditd is enabled,2,Automated,implemented,6.3.1.2,
6.3.1.3,Ensure audit_backlog_limit is sufficient,2,Automated,implemented,6.3.1.3,
6.3.1.4,Ensure auditd service is enabled and active,2,Automated,implemented,6.3.1.4,
6.3.2.1,Ensure audit log storage size is configured,2,Automated,implemented,6.3.2.1,
6.3.2.2,Ensure audit logs are not automatically deleted,2,Automated,implemented,6.3.2.2,
6.3.2.3,Ensure system is disabled when audit logs are full,2,Automated,implemented,6.3.2.3,
6.3.2.4,Ensure system warns when audit logs are low on space,2,Automated,implemented,6.3.2.4,
6.3.3.1,Ensure changes to system administration scope (sudoers) is collected,2,Automated,implemented,6.3.3.1,
6.3.3.2,Ensure actions as another user are always logged,2,Automated,implemented,6.3.3.2,
6.3.3.3,Ensure events that modify the sudo log file are collected,2,Automated,implemented,6.3.3.3,
6.3.3.4,Ensure events that modify date and time information are collected,2,Automated,implemented,6.3.3.4,
6.3.3.5,Ensure events that modify the system's network environment are collected,2,Automated,excluded_baseline_cliente,6.3.3.5,Excluido: no aparece en Linea_Base_Hardening_CIS_RHEL9_Final.xlsx entregada por el banco (2026-08-07). Codigo Ansible se mantiene pero deshabilitado por defecto (toggle=false).
6.3.3.6,Ensure use of privileged commands are collected,2,Automated,excluded_baseline_cliente,6.3.3.6,Excluido: no aparece en Linea_Base_Hardening_CIS_RHEL9_Final.xlsx entregada por el banco (2026-08-07). Codigo Ansible se mantiene pero deshabilitado por defecto (toggle=false).
6.3.3.7,Ensure unsuccessful file access attempts are collected,2,Automated,implemented,6.3.3.7,
6.3.3.8,Ensure events that modify user/group information are collected,2,Automated,implemented,6.3.3.8,
6.3.3.9,Ensure discretionary access control permission modification events are collected,2,Automated,excluded_baseline_cliente,6.3.3.9,Excluido: no aparece en Linea_Base_Hardening_CIS_RHEL9_Final.xlsx entregada por el banco (2026-08-07). Codigo Ansible se mantiene pero deshabilitado por defecto (toggle=false).
6.3.3.10,Ensure successful file system mounts are collected,2,Automated,implemented,6.3.3.10,
6.3.3.11,Ensure session initiation information is collected,2,Automated,implemented,6.3.3.11,
6.3.3.12,Ensure login and logout events are collected,2,Automated,implemented,6.3.3.12,
6.3.3.13,Ensure file deletion events by users are collected,2,Automated,implemented,6.3.3.13,
6.3.3.14,Ensure events that modify the system's Mandatory Access Controls are collected,2,Automated,implemented,6.3.3.14,
6.3.3.15,Ensure successful and unsuccessful attempts to use the chcon command are collected,2,Automated,implemented,6.3.3.15,
6.3.3.16,Ensure successful and unsuccessful attempts to use the setfacl command are collected,2,Automated,implemented,6.3.3.16,
6.3.3.17,Ensure successful and unsuccessful attempts to use the chacl command are collected,2,Automated,implemented,6.3.3.17,
6.3.3.18,Ensure successful and unsuccessful attempts to use the usermod command are collected,2,Automated,implemented,6.3.3.18,
6.3.3.19,Ensure kernel module loading unloading and modification is collected,2,Automated,excluded_baseline_cliente,6.3.3.19,Excluido: no aparece en Linea_Base_Hardening_CIS_RHEL9_Final.xlsx entregada por el banco (2026-08-07). Codigo Ansible se mantiene pero deshabilitado por defecto (toggle=false).
6.3.3.20,Ensure the audit configuration is immutable,2,Automated,implemented,6.3.3.20,
6.3.3.21,Ensure the running and on disk configuration is the same,2,Manual,manual,,Marcado como Manual en el CIS Benchmark (politica organizacional / revision humana / seguridad fisica). No se automatiza.
6.3.4.1,Ensure the audit log file directory mode is configured,2,Automated,implemented,6.3.4.1,
6.3.4.2,Ensure audit log files mode is configured,2,Automated,implemented,6.3.4.2,
6.3.4.3,Ensure audit log files owner is configured,2,Automated,implemented,6.3.4.3,
6.3.4.4,Ensure audit log files group owner is configured,2,Automated,implemented,6.3.4.4,
6.3.4.5,Ensure audit configuration files mode is configured,2,Automated,implemented,6.3.4.5,
6.3.4.6,Ensure audit configuration files owner is configured,2,Automated,implemented,6.3.4.6,
6.3.4.7,Ensure audit configuration files group owner is configured,2,Automated,implemented,6.3.4.7,
6.3.4.8,Ensure audit tools mode is configured,2,Automated,implemented,6.3.4.8,
6.3.4.9,Ensure audit tools owner is configured,2,Automated,implemented,6.3.4.9,
6.3.4.10,Ensure audit tools group owner is configured,2,Automated,implemented,6.3.4.10,
7.1.1,Ensure permissions on /etc/passwd are configured,1,Automated,implemented,7.1.1,
7.1.2,Ensure permissions on /etc/passwd- are configured,1,Automated,implemented,7.1.2,
7.1.3,Ensure permissions on /etc/group are configured,1,Automated,implemented,7.1.3,
7.1.4,Ensure permissions on /etc/group- are configured,1,Automated,implemented,7.1.4,
7.1.5,Ensure permissions on /etc/shadow are configured,1,Automated,implemented,7.1.5,
7.1.6,Ensure permissions on /etc/shadow- are configured,1,Automated,implemented,7.1.6,
7.1.7,Ensure permissions on /etc/gshadow are configured,1,Automated,implemented,7.1.7,
7.1.8,Ensure permissions on /etc/gshadow- are configured,1,Automated,implemented,7.1.8,
7.1.9,Ensure permissions on /etc/shells are configured,1,Automated,implemented,7.1.9,
7.1.10,Ensure permissions on /etc/security/opasswd are configured,1,Automated,implemented,7.1.10,
7.1.11,Ensure world writable files and directories are secured,1,Automated,excluded_baseline_cliente,7.1.11,Se aplica sticky bit a directorios world-writable (no destructivo) automaticamente; los ARCHIVOS world-writable solo se reportan (no se les quita el permiso automaticamente) para evitar romper aplicaciones productivas. Requiere revision manual de los archivos listados. | Excluido: no aparece en Linea_Base_Hardening_CIS_RHEL9_Final.xlsx entregada por el banco (2026-08-07). Codigo Ansible se mantiene pero deshabilitado por defecto (toggle=false).
7.1.12,Ensure no files or directories without an owner and a group exist,1,Automated,implemented,7.1.12,Se reportan (find) archivos/directorios sin dueno o grupo valido; no se reasigna propietario automaticamente por el riesgo de asignar un usuario incorrecto en un banco. Revisar manualmente el listado generado.
7.1.13,Ensure SUID and SGID files are reviewed,1,Manual,manual,,Marcado como Manual en el CIS Benchmark (politica organizacional / revision humana / seguridad fisica). No se automatiza.
7.2.1,Ensure accounts in /etc/passwd use shadowed passwords,1,Automated,implemented,7.2.1,Remediacion activa via `pwconv` (convierte /etc/passwd a shadow) - operacion estandar e idempotente.
7.2.2,Ensure /etc/shadow password fields are not empty,1,Automated,implemented,7.2.2,Auditoria: reporta cuentas con campo de password vacio en /etc/shadow; no se bloquean automaticamente (podria bloquear cuentas de servicio legitimas sin revisar).
7.2.3,Ensure all groups in /etc/passwd exist in /etc/group,1,Automated,implemented,7.2.3,Auditoria: reporta grupos referenciados en /etc/passwd que no existen en /etc/group.
7.2.4,Ensure no duplicate UIDs exist,1,Automated,implemented,7.2.4,Auditoria: reporta UIDs duplicados.
7.2.5,Ensure no duplicate GIDs exist,1,Automated,implemented,7.2.5,Auditoria: reporta GIDs duplicados.
7.2.6,Ensure no duplicate user names exist,1,Automated,implemented,7.2.6,Auditoria: reporta nombres de usuario duplicados.
7.2.7,Ensure no duplicate group names exist,1,Automated,implemented,7.2.7,Auditoria: reporta nombres de grupo duplicados.
7.2.8,Ensure local interactive user home directories are configured,1,Automated,implemented,7.2.8,"Se crean directorios home faltantes con permisos 0750 y propietario correcto para usuarios interactivos locales (remediacion activa, no destructiva)."
7.2.9,Ensure local interactive user dot files access is configured,1,Automated,implemented,7.2.9,"Se corrigen permisos de archivos . (dotfiles) de usuarios interactivos locales que sean de escritura de grupo/otros (remediacion activa sobre archivos, no se eliminan archivos)."
